Rezultati za V3_V_S_7_11_2012_V.2.kml
16.438165 43.889046 409.300000 N
16.438185 43.889048 409.250000 l
16.438206 43.889051 409.200000 l
16.438226 43.889053 409.130000 p
16.438246 43.889055 409.070000 l
16.438267 43.889056 409.010000 l
16.438287 43.889059 409.060000 r
16.438308 43.889062 409.150000 r
16.438329 43.889064 409.220000 r
16.438349 43.889066 409.280000 l
16.438370 43.889067 409.330000 r
16.438391 43.889069 409.420000 r
16.438412 43.889070 409.440000 l
16.438433 43.889070 409.390000 l
16.438454 43.889070 409.340000 l
16.438475 43.889069 409.270000 l
16.438497 43.889069 409.250000 l
16.438518 43.889068 409.230000 l
16.438540 43.889068 409.240000 l
16.438561 43.889068 409.240000 l
16.438583 43.889067 409.260000 r
16.438605 43.889066 409.270000 l
16.438627 43.889066 409.270000 l
16.438649 43.889064 409.210000 r
16.438671 43.889063 409.190000 r
16.438693 43.889061 409.140000 p
16.438715 43.889059 409.090000 p
16.438737 43.889057 409.010000 r
16.438759 43.889053 408.890000 r
16.438781 43.889050 408.780000 p
16.438803 43.889047 408.670000 r
16.438825 43.889043 408.570000 r
16.438847 43.889040 408.490000 r
16.438869 43.889038 408.480000 l
16.438892 43.889035 408.490000 r
16.438914 43.889032 408.500000 l
16.438937 43.889030 408.560000 l
16.438959 43.889027 408.630000 l
16.438982 43.889025 408.680000 l
16.439004 43.889022 408.730000 r
16.439027 43.889019 408.770000 r
16.439049 43.889016 408.750000 r
16.439072 43.889013 408.720000 p
16.439095 43.889010 408.710000 l
16.439117 43.889006 408.670000 l
16.439140 43.889003 408.660000 p
16.439163 43.889000 408.610000 r
16.439186 43.888996 408.590000 r
16.439209 43.888993 408.560000 p
16.439232 43.888990 408.540000 p
16.439255 43.888987 408.500000 r
16.439278 43.888983 408.470000 r
16.439301 43.888980 408.450000 p
16.439324 43.888977 408.420000 p
16.439347 43.888974 408.410000 r
16.439370 43.888970 408.410000 r
16.439393 43.888967 408.390000 p
16.439416 43.888964 408.380000 p
16.439439 43.888961 408.360000 r
16.439463 43.888958 408.360000 l
16.439486 43.888956 408.340000 r
16.439509 43.888953 408.330000 l
16.439533 43.888951 408.320000 l
16.439556 43.888948 408.310000 l
16.439580 43.888946 408.300000 r
16.439603 43.888944 408.280000 r
16.439627 43.888942 408.270000 r
16.439650 43.888940 408.250000 r
16.439674 43.888938 408.220000 p
16.439698 43.888936 408.210000 p
16.439722 43.888934 408.180000 r
16.439746 43.888933 408.180000 p
16.439770 43.888932 408.160000 r
16.439794 43.888931 408.150000 r
16.439818 43.888930 408.140000 l
16.439842 43.888930 408.130000 l
16.439866 43.888929 408.120000 r
16.439890 43.888928 408.100000 l
16.439914 43.888928 408.100000 l
16.439939 43.888927 408.090000 l
16.439963 43.888927 408.070000 l
16.439987 43.888927 408.070000 l
16.440011 43.888927 408.040000 l
16.440035 43.888926 408.020000 l
16.440059 43.888926 408.030000 l
16.440083 43.888926 408.030000 l
16.440107 43.888926 408.030000 l
16.440131 43.888925 407.950000 l
16.440155 43.888925 407.890000 l
16.440179 43.888924 407.820000 r
16.440203 43.888923 407.830000 l
16.440227 43.888923 407.760000 l
16.440251 43.888922 407.720000 r
16.440275 43.888923 407.710000 l
16.440299 43.888923 407.680000 l
16.440323 43.888923 407.660000 l
16.440347 43.888924 407.650000 l
16.440371 43.888924 407.620000 l
16.440396 43.888924 407.620000 l
16.440420 43.888924 407.620000 l
16.440444 43.888924 407.580000 l
16.440468 43.888924 407.550000 l
16.440492 43.888923 407.520000 l
16.440516 43.888923 407.490000 l
16.440540 43.888923 407.450000 l
16.440564 43.888923 407.440000 l
16.440588 43.888922 407.420000 l
16.440612 43.888922 407.400000 l
16.440636 43.888922 407.380000 l
16.440660 43.888922 407.390000 l
16.440685 43.888922 407.400000 l
16.440709 43.888922 407.410000 l
16.440733 43.888922 407.420000 l
16.440758 43.888921 407.410000 l
16.440782 43.888921 407.440000 l
16.440806 43.888920 407.430000 l
16.440831 43.888920 407.460000 l
16.440855 43.888920 407.490000 l
16.440879 43.888919 407.520000 l
16.440904 43.888919 407.550000 l
16.440928 43.888918 407.570000 r
16.440953 43.888917 407.600000 r
16.440977 43.888916 407.620000 r
16.441002 43.888915 407.630000 r
16.441026 43.888914 407.670000 r
16.441051 43.888913 407.680000 p
16.441076 43.888912 407.700000 l
16.441100 43.888910 407.710000 r
16.441125 43.888908 407.700000 l
16.441149 43.888907 407.720000 l
16.441174 43.888905 407.740000 r
16.441198 43.888903 407.770000 r
16.441223 43.888901 407.800000 p
16.441248 43.888899 407.840000 r
16.441272 43.888897 407.880000 r
16.441297 43.888894 407.900000 r
16.441321 43.888891 407.960000 r
16.441346 43.888889 408.020000 l
16.441370 43.888885 408.040000 r
16.441395 43.888882 408.080000 r
16.441419 43.888879 408.120000 r
16.441443 43.888875 408.150000 r
16.441468 43.888871 408.200000 r
16.441492 43.888868 408.250000 r
16.441516 43.888864 408.330000 p
16.441540 43.888860 408.390000 r
16.441565 43.888856 408.450000 r
16.441589 43.888852 408.440000 r
16.441613 43.888847 408.470000 p
16.441637 43.888842 408.480000 r
16.441661 43.888838 408.530000 r
16.441685 43.888833 408.570000 r
16.441708 43.888828 408.580000 r
16.441732 43.888823 408.640000 r
16.441755 43.888818 408.710000 r
16.441779 43.888813 408.730000 r
16.441802 43.888807 408.750000 r
16.441825 43.888802 408.800000 r
16.441849 43.888797 408.850000 r
16.441872 43.888792 408.900000 p
16.441895 43.888787 408.950000 p
16.441918 43.888782 409.010000 p
16.441941 43.888777 409.050000 p
16.441964 43.888772 409.100000 r
16.441986 43.888767 409.150000 l
16.442009 43.888763 409.210000 r
16.442032 43.888758 409.260000 l
16.442054 43.888754 409.300000 l
16.442077 43.888749 409.340000 p
16.442100 43.888744 409.380000 r
16.442122 43.888739 409.420000 p
16.442144 43.888734 409.470000 r
16.442167 43.888729 409.520000 r
16.442189 43.888724 409.580000 r
16.442211 43.888720 409.640000 l
16.442234 43.888715 409.690000 r
16.442256 43.888710 409.770000 r
16.442278 43.888706 409.810000 r
16.442300 43.888701 409.940000 l
16.442322 43.888694 410.050000 l
16.442344 43.888689 410.100000 r
16.442366 43.888685 410.160000 l
16.442388 43.888678 410.130000 l
16.442410 43.888674 410.190000 r
16.442432 43.888668 410.180000 l
16.442455 43.888664 410.200000 r
16.442477 43.888660 410.340000 r
16.442499 43.888655 410.560000 r
16.442521 43.888651 410.620000 l
16.442542 43.888645 410.630000 l
16.442565 43.888640 410.650000 l
16.442587 43.888636 410.680000 r
16.442609 43.888631 410.720000 r
16.442630 43.888625 410.770000 r
16.442652 43.888619 410.710000 p
16.442674 43.888613 410.620000 r
16.442695 43.888607 410.530000 r
16.442717 43.888601 410.400000 r
16.442738 43.888595 410.250000 l
16.442761 43.888592 410.210000 r
16.442784 43.888591 410.120000 l
16.442806 43.888588 410.110000 p
16.442828 43.888585 410.140000 p
16.442850 43.888582 410.160000 l
16.442873 43.888580 410.150000 r
16.442895 43.888578 410.140000 r
16.442918 43.888576 410.120000 l
16.442940 43.888576 410.080000 l
16.442963 43.888575 410.050000 l
16.442985 43.888575 410.020000 l
16.443008 43.888575 409.980000 l
16.443031 43.888576 409.940000 p
16.443054 43.888577 409.950000 r
16.443076 43.888578 409.950000 r
16.443099 43.888579 409.970000 r
16.443122 43.888581 410.000000 r
16.443144 43.888583 410.040000 r
16.443167 43.888585 410.080000 r
16.443189 43.888587 410.080000 r
16.443211 43.888588 410.100000 r
